,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
76,[5. 0. 1. ... 0. 0. 0.],2.9758266369214748,-4.0,0.031617582033769846,0.004969840695459505,76.0,0.0,0.9290090726994228,76.33798982183657,76,myopic_prob,run
77,[25.  0.  0. ...  0.  0.  0.],2.993597845182614,8.0,0.03163680481528875,0.005177043903962708,77.0,0.0,0.9317426652527396,93.01299127357207,77,myopic_prob,run
78,[17.  0.  0. ...  0.  0.  0.],3.0157403814092523,-3.5,0.03164771404110956,0.00522747703261306,78.0,0.0,0.9315894898079418,100.35630279272154,78,myopic_prob,run
79,[27.  0.  0. ...  0.  0.  0.],3.032416775589507,4.5,0.03165515092280779,0.005367712789261761,79.0,0.0,0.9327324142806647,94.94932081466814,79,myopic_prob,run
80,[1. 0. 1. ... 0. 0. 0.],3.031704206025918,-5.0,0.03172071073534432,0.004798992727579724,80.0,0.0,0.9231766230705787,67.26401758666863,80,myopic_prob,run
81,[2. 0. 0. ... 0. 0. 0.],3.035090467326164,-2.0,0.03175610652147911,0.0048302138252626055,81.0,0.0,0.9231059267114411,66.92444183468213,81,myopic_prob,run
82,[18.  0.  0. ...  0.  0.  0.],3.057635531520133,3.0,0.03176191953516235,0.005281855157474051,82.0,0.0,0.9344762578060565,100.42927863443899,82,myopic_prob,run
83,[4. 0. 0. ... 0. 0. 0.],3.064563834683901,-3.0,0.03180573374246197,0.0048422352708639435,83.0,0.0,0.9214092140921409,70.40767638397753,83,myopic_prob,run
84,[16.  0.  0. ...  0.  0.  0.],3.0850004670221867,3.0,0.03180573374246197,0.005804473540061618,84.0,0.0,0.940662189230588,125.91634171839993,84,myopic_prob,run
85,[1. 0. 0. ... 0. 0. 0.],3.1049208231007137,0.0,0.03180728460492586,0.005534738002429465,85.0,0.0,0.9381524684812067,119.86698992365972,85,myopic_prob,run
86,[21.  0.  0. ...  0.  0.  0.],3.127405161911961,1.0,0.03181482945097661,0.005236544566558719,86.0,0.0,0.932237539766702,104.69506782470553,86,myopic_prob,run
87,[5. 0. 0. ... 0. 0. 0.],3.14155726479541,-3.5,0.031827412971552164,0.0052977703429614885,87.0,0.0,0.9340874278308,96.84196448808025,87,myopic_prob,run
88,[3. 0. 0. ... 0. 0. 0.],3.149565744788854,2.0,0.031857673868962856,0.005013804115429199,88.0,0.0,0.9294803817603394,83.35860960080753,88,myopic_prob,run
89,[17.  0.  0. ...  0.  0.  0.],3.17081223825991,-0.5,0.03186318194308408,0.00573427133057684,89.0,0.0,0.9405090137857901,124.75957880019212,89,myopic_prob,run
90,[27.  0.  0. ...  0.  0.  0.],3.1858677102957143,5.0,0.03187618709488293,0.0050562466732100185,90.0,0.0,0.9287380699893958,79.90109417405951,90,myopic_prob,run
91,[15.  0.  0. ...  0.  0.  0.],3.209937967858145,-4.5,0.0318820760172655,0.0060569503962424505,91.0,0.0,0.943808177212207,146.25620390267787,91,myopic_prob,run
92,[17.  0.  0. ...  0.  0.  0.],3.2319283619418124,-0.5,0.0318820760172655,0.005840967656311614,92.0,0.0,0.9417815482502653,125.95277495309418,92,myopic_prob,run
93,[28.  0.  0. ...  0.  0.  0.],3.2492791652921493,5.5,0.03188923821247991,0.005168606919519254,93.0,0.0,0.9256627783669142,77.14592463506368,93,myopic_prob,run
94,[15.  0.  0. ...  0.  0.  0.],3.271271415736492,-4.0,0.03188923821247991,0.006655916524920087,94.0,0.0,0.9484034405561447,163.70669815418273,94,myopic_prob,run
95,[17.  0.  0. ...  0.  0.  0.],3.2914587836647033,-1.0,0.03189507295955115,0.00571347054696796,95.0,0.0,0.9395899611170024,123.44343523530235,95,myopic_prob,run
96,[14.  0.  0. ...  0.  0.  0.],3.3144102964456064,0.5,0.03189669028221809,0.006373382766594315,96.0,0.0,0.9457169789089196,156.21667494718108,96,myopic_prob,run
97,[27.  0.  0. ...  0.  0.  0.],3.3318732312269432,4.0,0.031908068358487175,0.005114940580599385,97.0,0.0,0.9251679038529517,76.82929022836392,97,myopic_prob,run
98,[3. 0. 0. ... 0. 0. 0.],3.3514927448349914,-3.0,0.03191567480732389,0.00569043943627018,98.0,0.0,0.9408271474019089,124.81046799590229,98,myopic_prob,run
99,[2. 0. 1. ... 0. 0. 0.],3.368711107837689,-3.0,0.031924197888005885,0.005026431546180955,99.0,0.0,0.9256627783669142,77.99233320743072,99,myopic_prob,run
100,[15.  0.  0. ...  0.  0.  0.],3.3914653005061544,2.5,0.031924197888005885,0.006380370841123372,100.0,0.0,0.9473429951690823,153.11769259619402,100,myopic_prob,run
101,[27.  0.  0. ...  0.  0.  0.],3.409895530966073,3.5,0.03193633787549724,0.005037442565218046,101.0,0.0,0.9211617768351598,71.46388559403553,101,myopic_prob,run
102,[1. 0. 0. ... 0. 0. 0.],3.426114747860135,-6.5,0.03195758483304241,0.00501760385315023,102.0,0.0,0.9255802992812537,74.76142283327597,102,myopic_prob,run
103,[5. 0. 2. ... 0. 0. 0.],3.3516379019097537,-3.5,0.03214450876377408,0.0048874151097966145,103.0,0.0,0.9142688818192531,40.97712252812145,103,myopic_prob,run
104,[4. 0. 0. ... 0. 0. 0.],3.364682436346742,3.0,0.03215536614719278,0.005257726387750207,104.0,0.0,0.9316837516201251,97.40816494319078,104,myopic_prob,run
105,[1. 0. 0. ... 0. 0. 0.],3.3770394209144396,1.0,0.0321612873020804,0.0051625087708366746,105.0,0.0,0.9291386826911748,87.37179903567657,105,myopic_prob,run
106,[1. 0. 1. ... 0. 0. 0.],3.3074269719055045,-3.5,0.0323924530600728,0.00483763496737921,106.0,0.0,0.9079062094968778,36.188422033835735,106,myopic_prob,run
107,[2. 0. 0. ... 0. 0. 0.],3.3173190275619593,5.5,0.032398739373366334,0.00560703998044055,107.0,0.0,0.9397667020148462,111.83499175177232,107,myopic_prob,run
108,[25.  0.  0. ...  0.  0.  0.],3.331706599348513,3.0,0.03240834880630715,0.0050911388842522845,108.0,0.0,0.9273123600801226,77.86886191339384,108,myopic_prob,run
109,[17.  0.  0. ...  0.  0.  0.],3.351252659718071,-3.5,0.03240871748682437,0.005276641325455305,109.0,0.0,0.9309296571226582,101.16665585083612,109,myopic_prob,run
