,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
127,[6. 0. 0. ... 0. 0. 0.],3.5011377852827463,0.0,0.03067978683348024,0.008917720993121573,127.0,0.0,0.9443383999057383,117.82931835479904,127,cosine_sim,run
128,[6. 0. 0. ... 0. 0. 0.],3.5333429503490006,0.0,0.03067978683348024,0.008928736654240885,128.0,0.0,0.9446447507953339,117.8641083998623,128,cosine_sim,run
129,[6. 0. 0. ... 0. 0. 0.],3.565419086551014,0.0,0.030681580931253578,0.00897922181289616,129.0,0.0,0.94438553081183,118.00211354966152,129,cosine_sim,run
130,[6. 0. 0. ... 0. 0. 0.],3.597330233274944,0.0,0.030681580931253578,0.009075360302871024,130.0,0.0,0.9446211853422882,117.91057598191101,130,cosine_sim,run
131,[6. 0. 0. ... 0. 0. 0.],3.6290419338646416,0.0,0.030681580931253578,0.00909944787411512,131.0,0.0,0.9445504889831509,117.80269001428861,131,cosine_sim,run
132,[6. 0. 0. ... 0. 0. 0.],3.660009390209568,0.0,0.030684503659897444,0.009168336180910197,132.0,0.0,0.9442794862731236,118.03456119309466,132,cosine_sim,run
133,[6. 0. 0. ... 0. 0. 0.],3.69071928255711,0.0,0.030686554731700465,0.009203879637404584,133.0,0.0,0.9441263108283258,117.98952093690417,133,cosine_sim,run
134,[6. 0. 0. ... 0. 0. 0.],3.721240358558606,0.0,0.030687096482703506,0.009258520813591657,134.0,0.0,0.944090962648757,117.84634529438748,134,cosine_sim,run
135,[6. 0. 0. ... 0. 0. 0.],3.7517622461364084,0.0,0.030687096482703506,0.009264866153152697,135.0,0.0,0.9438670908448216,117.70430529260925,135,cosine_sim,run
136,[6. 0. 0. ... 0. 0. 0.],3.781953734552723,0.0,0.030687096482703506,0.009334929873851105,136.0,0.0,0.9442677035466007,118.21104342286833,136,cosine_sim,run
137,[6. 0. 0. ... 0. 0. 0.],3.8118680052800027,0.0,0.030688683067354564,0.009336658275799443,137.0,0.0,0.944090962648757,117.95355126128457,137,cosine_sim,run
138,[6. 0. 0. ... 0. 0. 0.],3.841708991616832,0.0,0.030688683067354564,0.009357589231130716,138.0,0.0,0.9439849181100507,117.89783051387263,138,cosine_sim,run
139,[6. 0. 0. ... 0. 0. 0.],3.8711789599454907,0.0,0.030689035190365085,0.009431937980562743,139.0,0.0,0.944067397195711,117.59657266167062,139,cosine_sim,run
140,[6. 0. 0. ... 0. 0. 0.],3.9006033123045882,0.0,0.030689035190365085,0.009499316450114235,140.0,0.0,0.9441263108283257,117.42695828628064,140,cosine_sim,run
141,[6. 0. 0. ... 0. 0. 0.],3.9300512180204206,0.0,0.030689035190365085,0.009568802618415839,141.0,0.0,0.9440673971957111,117.452933078414,141,cosine_sim,run
142,[7. 0. 0. ... 0. 0. 0.],3.9590905772878364,0.0,0.0306911325349848,0.009648856680322173,142.0,0.0,0.9439849181100507,117.4065239533447,142,cosine_sim,run
143,[7. 0. 0. ... 0. 0. 0.],3.987909410094216,0.0,0.0306911325349848,0.009701039293710963,143.0,0.0,0.9434900435960882,117.24284209648607,143,cosine_sim,run
144,[7. 0. 0. ... 0. 0. 0.],4.016491128629079,0.0,0.030691985125841828,0.00973289538955816,144.0,0.0,0.9432897372451987,117.04626445616418,144,cosine_sim,run
145,[7. 0. 0. ... 0. 0. 0.],4.044892561162156,0.0,0.030691985125841828,0.009787102144217023,145.0,0.0,0.9431365618004007,116.97120695767912,145,cosine_sim,run
146,[7. 0. 0. ... 0. 0. 0.],4.07308656000711,0.0,0.030691985125841828,0.009822117563858345,146.0,0.0,0.9432897372451987,116.75652191935838,146,cosine_sim,run
147,[7. 0. 0. ... 0. 0. 0.],4.101194428477622,0.0,0.030691985125841828,0.00984777076022706,147.0,0.0,0.9430305172616944,116.64142064332701,147,cosine_sim,run
148,[7. 0. 0. ... 0. 0. 0.],4.128708560394854,0.0,0.030691745024542246,0.009902178478362245,148.0,0.0,0.9431601272534466,116.4927508284596,148,cosine_sim,run
149,[7. 0. 0. ... 0. 0. 0.],4.155852849671316,0.0,0.030691745024542246,0.00992103306899841,149.0,0.0,0.9432190408860611,116.6102111245198,149,cosine_sim,run
150,[7. 0. 0. ... 0. 0. 0.],4.182878946477432,0.0,0.030691745024542246,0.009973105239514274,150.0,0.0,0.9433015199717214,116.59062589424809,150,cosine_sim,run
