,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
52,[4. 0. 0. ... 0. 0. 0.],3.205473818403439,0.5,0.030409549957887118,0.005353237036104189,52.0,0.0,0.937374808530694,95.07720648044264,52,myopic,run
53,[4. 0. 0. ... 0. 0. 0.],3.232584083077904,0.0,0.030429143169613464,0.005336559195191234,53.0,0.0,0.9375044185224461,94.87128858699084,53,myopic,run
54,[4. 0. 0. ... 0. 0. 0.],3.2753377880011603,0.5,0.03043644854239796,0.005393814637351205,54.0,0.0,0.9385412984564628,97.21053662198055,54,myopic,run
55,[4. 0. 0. ... 0. 0. 0.],3.3263446099114673,0.0,0.03043803939954352,0.005390425917327144,55.0,0.0,0.9389654766112878,98.02722154349111,55,myopic,run
56,[3. 0. 0. ... 0. 0. 0.],3.38019565567544,0.0,0.03044075051515576,0.005394397605510596,56.0,0.0,0.9386119948156005,98.70180308661247,56,myopic,run
57,[3. 0. 0. ... 0. 0. 0.],3.433371297420467,0.0,0.03044211952200657,0.00542404348995854,57.0,0.0,0.9393071756804525,99.79075665823575,57,myopic,run
58,[3. 0. 0. ... 0. 0. 0.],3.486617344283395,0.0,0.0304479885066881,0.00545812178925074,58.0,0.0,0.9396606574761401,100.78231725613924,58,myopic,run
59,[3. 0. 0. ... 0. 0. 0.],3.54024002683391,0.0,0.0304479885066881,0.005472143778870849,59.0,0.0,0.9398963120065984,100.98134894266771,59,myopic,run
60,[3. 0. 0. ... 0. 0. 0.],3.5942127856721915,0.0,0.03045244519570935,0.005496858418055473,60.0,0.0,0.9400259219983506,101.55787101163413,60,myopic,run
61,[3. 0. 0. ... 0. 0. 0.],3.6476785305122483,0.0,0.030453733365106837,0.005527856695791558,61.0,0.0,0.9399198774596442,102.32841493696134,61,myopic,run
62,[3. 0. 0. ... 0. 0. 0.],3.7000374303354184,0.0,0.030456634784148954,0.005532381178599941,62.0,0.0,0.9404736656062213,102.59750359559203,62,myopic,run
63,[3. 0. 0. ... 0. 0. 0.],3.7523329313340676,0.0,0.030456840815384217,0.0055554221537224505,63.0,0.0,0.9404736656062214,103.07544518441266,63,myopic,run
64,[3. 0. 0. ... 0. 0. 0.],3.80358475639758,0.0,0.030457993467883162,0.005577281718918762,64.0,0.0,0.940673971957111,103.9399038141064,64,myopic,run
65,[3. 0. 0. ... 0. 0. 0.],3.8544630467568037,0.0,0.030458165593316107,0.005588240127690636,65.0,0.0,0.9404265347001297,104.84119985024998,65,myopic,run
66,[3. 0. 0. ... 0. 0. 0.],3.906196292661062,0.0,0.030461394080549327,0.005619920791513762,66.0,0.0,0.9412041946506423,104.93629668655882,66,myopic,run
67,[3. 0. 0. ... 0. 0. 0.],3.957984186326366,0.0,0.03046120158522785,0.00565630311095017,67.0,0.0,0.9414987628137153,105.90216453092435,67,myopic,run
68,[3. 0. 0. ... 0. 0. 0.],4.008294937908207,0.0,0.030462731524147493,0.005674819603264291,68.0,0.0,0.941805113703311,106.63568267479148,68,myopic,run
69,[3. 0. 0. ... 0. 0. 0.],4.057963004280553,0.0,0.030469909356316754,0.005699378345854197,69.0,0.0,0.9417108518911277,107.1541326142107,69,myopic,run
70,[3. 0. 0. ... 0. 0. 0.],4.106429374597089,0.0,0.03047446091393155,0.005735137852592125,70.0,0.0,0.9420289855072463,108.24121839606916,70,myopic,run
71,[3. 0. 0. ... 0. 0. 0.],4.1546868808750474,0.0,0.03047674309320568,0.005745500527478488,71.0,0.0,0.9424649463885945,108.684209922269,71,myopic,run
72,[3. 0. 0. ... 0. 0. 0.],4.203357078801768,0.0,0.030476583314167513,0.005763051660109967,72.0,0.0,0.942523860021209,109.843038336658,72,myopic,run
73,[3. 0. 0. ... 0. 0. 0.],4.250370517003371,0.0,0.030477757999639317,0.0057843038862152064,73.0,0.0,0.9420172027807235,110.05649745411999,73,myopic,run
