,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
51,[0. 0. 8. ... 0. 0. 0.],0.19853686783258315,-6.0,0.04117656451393102,0.17368730443558422,0.21314952279957583,0.9501708495345824,418.314254325268,51,run,cosine_sim,10
52,[0. 1. 9. ... 0. 0. 0.],0.2724557666423879,-3.5,0.043163099242693126,0.13468263076743098,0.22820784729586427,0.9562743018734536,468.5881612435531,52,run,cosine_sim,10
53,[0. 1. 7. ... 0. 0. 0.],0.3531361024033561,-6.0,0.044321929401583485,0.11049421169802714,0.24093319194061505,0.9591610698715684,496.9158784546992,53,run,cosine_sim,10
54,[0. 1. 9. ... 0. 0. 0.],0.4312420626680669,2.0,0.04514551005281096,0.09480019135829286,0.24994697773064686,0.9615058324496288,511.25635348200825,54,run,cosine_sim,10
55,[0. 1. 7. ... 0. 0. 0.],0.5042480218929924,-0.5,0.04555112769327633,0.08593862945745,0.255779427359491,0.9611523506539414,505.87968969368376,55,run,cosine_sim,10
56,[0. 2. 5. ... 0. 0. 0.],0.569331775262724,8.0,0.0457210420517524,0.07843886730803946,0.2593849416755037,0.9611405679274184,502.50740714726646,56,run,cosine_sim,10
57,[0. 1. 3. ... 0. 0. 0.],0.6267600449630335,8.0,0.045861189069417475,0.07339445772328018,0.24485683987274656,0.9617297042535643,497.2626642613812,57,run,cosine_sim,10
58,[0. 0. 5. ... 0. 0. 0.],0.67890032911318,4.5,0.04590771700096043,0.0698183544132643,0.26203605514316014,0.9614704842700602,487.7466025493519,58,run,cosine_sim,10
59,[0. 0. 6. ... 0. 0. 0.],0.7279775064271546,11.5,0.04589594649465878,0.06790008638345367,0.2582184517497349,0.9611876988335102,485.89678206223385,59,run,cosine_sim,10
60,[0. 0. 6. ... 0. 0. 0.],0.7751139427389273,-0.5,0.04587150433012712,0.06626067621837732,0.24019088016967127,0.9609284788500059,480.89582688984916,60,run,cosine_sim,10
61,[0. 0. 6. ... 0. 0. 0.],0.8213735299706298,2.5,0.04586658179389477,0.06502941539621994,0.23955461293743371,0.9607281724991164,479.23367476568546,61,run,cosine_sim,10
62,[0. 0. 8. ... 0. 0. 0.],0.8671709005019399,1.5,0.045858366549701886,0.06442756297000474,0.25196182396606576,0.9605985625073642,478.66955925602923,62,run,cosine_sim,10
63,[0. 0. 8. ... 0. 0. 0.],0.9127861036155038,-1.5,0.04585592602927811,0.06377604222580362,0.24941675503711558,0.9605396488747497,477.3272341136455,63,run,cosine_sim,10
64,[0. 0. 8. ... 0. 0. 0.],0.9582833256430826,0.5,0.045851953328836986,0.06330760451377548,0.2342523860021209,0.9603629079769059,477.85156794948733,64,run,cosine_sim,10
65,[0. 0. 8. ... 0. 0. 0.],1.0037765465800244,2.0,0.04585017897978259,0.06277968611667648,0.23138918345705195,0.9603629079769059,478.0783181061781,65,run,cosine_sim,10
66,[0. 0. 8. ... 0. 0. 0.],1.0491421845473567,-0.5,0.04584019793328694,0.06210540301582021,0.21919406150583245,0.960209732532108,475.4457959034337,66,run,cosine_sim,10
67,[0. 0. 8. ... 0. 0. 0.],1.0943753271042604,0.5,0.045838966228187845,0.06166419921206731,0.22608695652173913,0.9600801225403559,474.5893121263877,67,run,cosine_sim,10
68,[0. 0. 7. ... 0. 0. 0.],1.1395136796815173,-1.0,0.04583804293150495,0.06115229964601674,0.22735949098621422,0.9600683398138329,475.60982144860276,68,run,cosine_sim,10
69,[0. 0. 8. ... 0. 0. 0.],1.1844509600523498,-1.0,0.04582983761594946,0.0606224464124904,0.2095440084835631,0.9598326852833746,475.9970968427283,69,run,cosine_sim,10
70,[0. 0. 8. ... 0. 0. 0.],1.2293462255335514,1.5,0.04582660185024235,0.05998971554611871,0.19618239660657477,0.9598326852833746,475.7545573002836,70,run,cosine_sim,10
71,[0. 0. 8. ... 0. 0. 0.],1.274137307289639,-1.0,0.04582079899863578,0.05933829913827156,0.16924708377518558,0.9598680334629434,474.9480967060847,71,run,cosine_sim,10
72,[0. 0. 8. ... 0. 0. 0.],1.318886000962257,0.5,0.04581756351768084,0.0589933018254732,0.2168610816542948,0.9597148580181455,476.07401060432574,72,run,cosine_sim,10
73,[0. 1. 8. ... 0. 0. 0.],1.363206216011928,-1.0,0.04581349166079863,0.05849354050312957,0.10031813361611877,0.9597030752916225,473.9399738592539,73,run,cosine_sim,10
74,[0. 0. 8. ... 0. 0. 0.],1.4075780701982032,1.0,0.0458072205693514,0.0579001355060581,0.14167550371155885,0.9596088134794392,473.4541013227712,74,run,cosine_sim,10
75,[0. 0. 8. ... 0. 0. 0.],1.4516694905221308,-1.0,0.045808416239880724,0.05737653902569039,0.14167550371155885,0.9595263343937788,471.5397849377274,75,run,cosine_sim,10
76,[0. 0. 8. ... 0. 0. 0.],1.49575203587038,0.5,0.04580396224289785,0.05698471197293651,0.051961823966065745,0.9592788971367976,471.01539247625243,76,run,cosine_sim,10
77,[0. 0. 8. ... 0. 0. 0.],1.5398551389966746,0.0,0.04580444380987364,0.056536828212862586,0.07592788971367974,0.9592788971367974,468.8998920297788,77,run,cosine_sim,10
78,[0. 1. 8. ... 0. 0. 0.],1.5835636745623216,1.0,0.045803566039398516,0.05608785334241595,0.03107104984093319,0.9593731589489808,467.97819649639445,78,run,cosine_sim,10
79,[0. 0. 7. ... 0. 0. 0.],1.6272746816522123,-1.5,0.04580428388781388,0.05562409935321209,0.12693531283138917,0.95920820077766,467.91099224353206,79,run,cosine_sim,10
80,[0. 0. 8. ... 0. 0. 0.],1.6707615079221867,0.0,0.04579991622702265,0.0552895045598414,0.011983032873806998,0.959066808059385,466.97784021810253,80,run,cosine_sim,10
81,[0. 0. 8. ... 0. 0. 0.],1.714183463122221,-1.0,0.04579257254765331,0.054607124579349194,0.021633085896076352,0.9590078944267704,467.28836741503807,81,run,cosine_sim,10
82,[0. 0. 8. ... 0. 0. 0.],1.7574329817467642,1.5,0.04578989776776518,0.0542224515831981,0.008695652173913044,0.9591257216919995,466.17909993476127,82,run,cosine_sim,10
83,[0. 0. 8. ... 0. 0. 0.],1.800628358344507,1.0,0.04578847470408486,0.05371608640152405,0.022163308589607637,0.9589961117002475,464.48174754193366,83,run,cosine_sim,10
