,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
46,[0. 0. 0. ... 0. 0. 0.],2.4785078800723404,0.0,0.008661223104345396,0.00500364743294154,0.23828207847295865,0.9584423235536703,757.3538815582488,46,run,myopic,10
47,[0. 0. 1. ... 0. 0. 0.],2.48647026728495,0.5,0.008664557619871886,0.00500860517675757,0.22364793213149523,0.9575821845174973,753.3099290537932,47,run,myopic,10
48,[0. 1. 2. ... 0. 0. 1.],2.4942952085851475,0.5,0.008671351174971146,0.004977955055188339,0.24294803817603394,0.9572640509013787,751.5724995603063,48,run,myopic,10
49,[0. 1. 2. ... 0. 1. 0.],2.501538202994137,-1.0,0.008677177238970447,0.004995222053703637,0.2408271474019088,0.9577589254153412,747.4354902943554,49,run,myopic,10
50,[1. 0. 2. ... 0. 2. 0.],2.509176628799451,0.5,0.008683384571911892,0.00500005136657811,0.23478260869565218,0.958348061741487,749.1444707548263,50,run,myopic,10
51,[2. 1. 2. ... 0. 0. 0.],2.5168062747142335,-0.5,0.008686358657810398,0.004992446862213613,0.15737009544008485,0.9573936608931307,753.6591437120786,51,run,myopic,10
52,[0. 1. 0. ... 0. 1. 1.],2.5245274280558143,0.0,0.008688366140939131,0.005004345292635998,0.147932131495228,0.9581359726640746,750.6806274090923,52,run,myopic,10
53,[0. 1. 5. ... 0. 0. 0.],2.5315960017867374,0.5,0.008692143065026298,0.00499146660918382,0.14485683987274656,0.9573465299870391,749.393537805079,53,run,myopic,10
54,[1. 1. 3. ... 0. 1. 0.],2.5391726963500165,-0.5,0.00869572977473624,0.004993769081967289,0.1423117709437964,0.9578414045010016,743.4066181645746,54,run,myopic,10
55,[1. 0. 1. ... 0. 0. 0.],2.546680089034005,0.0,0.008697971090559652,0.005004253998352241,0.09056203605514317,0.9581359726640746,747.0818466203224,55,run,myopic,10
56,[0. 2. 2. ... 0. 1. 0.],2.554059393075641,0.0,0.00870022756413498,0.004999340354317356,0.13244962884411454,0.9572640509013787,734.0411263020004,56,run,myopic,10
57,[0. 1. 3. ... 0. 0. 0.],2.560659397108264,0.0,0.008706214217461284,0.004991967180383722,0.0535524920466596,0.9580063626723224,740.979820057192,57,run,myopic,10
58,[1. 0. 3. ... 0. 0. 0.],2.5665699999217355,0.0,0.008709503036204384,0.00497198379008658,0.08525980911983033,0.9569223518322141,730.8370430517872,58,run,myopic,10
59,[0. 0. 0. ... 0. 0. 1.],2.572177752529427,0.0,0.008715873605943593,0.004967262018783649,0.05715800636267232,0.9566631318487099,737.945590264878,59,run,myopic,10
60,[0. 1. 2. ... 0. 0. 0.],2.5787574364136825,0.0,0.008719878562322026,0.005001329486550656,0.08462354188759279,0.9570283963709203,733.6174431373282,60,run,myopic,10
61,[1. 0. 2. ... 0. 0. 1.],2.5849764142099985,0.0,0.008724175499796052,0.004993971012544069,0.0735949098621421,0.9571462236361494,736.6934490474607,61,run,myopic,10
